sample	fq1	fq2	timepoint	type	shrimp	pond	code	om_percent	nitrite	ph	ammonia	feedinput	temperature	do	trial	shared	trt
189V3V4	189V3V4_R1.fastq	189V3V4_R2.fastq	T4	Soil	0	C3	C3ST4	2.113821138	0	7.64	2.57	160	32.22	5.81	1	1	1
190V3V4	190V3V4_R1.fastq	190V3V4_R2.fastq	T4	Soil	0	C4	C4ST4	0	0	0	0	0	0	0	2	0	4
191V3V4	191V3V4_R1.fastq	191V3V4_R2.fastq	T4	Soil	0	C5	C5ST4	0	0	0	0	0	0	0	2	0	3
192V3V4	192V3V4_R1.fastq	192V3V4_R2.fastq	T4	Soil	0	C6	C6ST4	2.777777778	0	7.77	3.18	160	32	6.53	1	1	1
193V3V4	193V3V4_R1.fastq	193V3V4_R2.fastq	T4	Soil	0	C7	C7ST4	0	0	0	0	0	0	0	2	0	3
194V3V4	194V3V4_R1.fastq	194V3V4_R2.fastq	T4	Soil	0	C8	C8ST4	0	0	0	0	0	0	0	2	0	2
195V3V4	195V3V4_R1.fastq	195V3V4_R2.fastq	T4	Soil	0	D1	D1ST4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
196V3V4	196V3V4_R1.fastq	196V3V4_R2.fastq	T4	Soil	0	D2	D2ST4	0	0	0	0	0	0	0	2	0	4
197V3V4	197V3V4_R1.fastq	197V3V4_R2.fastq	T4	Soil	0	D3	D3ST4	0	0	0	0	0	0	0	2	0	2
198V3V4	198V3V4_R1.fastq	198V3V4_R2.fastq	T4	Soil	0	D4	D4ST4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
199V3V4	199V3V4_R1.fastq	199V3V4_R2.fastq	T4	Soil	0	D5	D5ST4	0	0	0	0	0	0	0	2	0	3
200V3V4	200V3V4_R1.fastq	200V3V4_R2.fastq	T4	Soil	0	D6	D6ST4	0	0	0	0	0	0	0	2	0	4
201V3V4	201V3V4_R1.fastq	201V3V4_R2.fastq	T4	Soil	0	D7	D7ST4	0	0	0	0	0	0	0	2	0	2
202V3V4	202V3V4_R1.fastq	202V3V4_R2.fastq	T4	Soil	0	D8	D8ST4	0	0	0	0	0	0	0	2	0	3
203V3V4	203V3V4_R1.fastq	203V3V4_R2.fastq	T0	Water	0	C3	C3WT0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
204V3V4	204V3V4_R1.fastq	204V3V4_R2.fastq	T0	Water	0	C6	C6WT0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
205V3V4	205V3V4_R1.fastq	205V3V4_R2.fastq	T0	Water	0	D1	D1WT0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
206V3V4	206V3V4_R1.fastq	206V3V4_R2.fastq	T0	Water	0	D4	D4WT0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
207V3V4	207V3V4_R1.fastq	207V3V4_R2.fastq	T1	Water	0	C3	C3WT1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
208V3V4	208V3V4_R1.fastq	208V3V4_R2.fastq	T1	Water	0	C6	C6WT1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
209V3V4	209V3V4_R1.fastq	209V3V4_R2.fastq	T1	Water	0	D1	D1WT1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
210V3V4	210V3V4_R1.fastq	210V3V4_R2.fastq	T1	Water	0	D4	D4WT1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
211V3V4	211V3V4_R1.fastq	211V3V4_R2.fastq	T2	Water	0	C3	C3WT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
212V3V4	212V3V4_R1.fastq	212V3V4_R2.fastq	T2	Water	0	C6	C6WT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
213V3V4	213V3V4_R1.fastq	213V3V4_R2.fastq	T2	Water	0	D1	D1WT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
214V3V4	214V3V4_R1.fastq	214V3V4_R2.fastq	T2	Water	0	D4	D4WT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
215V3V4	215V3V4_R1.fastq	215V3V4_R2.fastq	T3	Water	0	C3	C3WT3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
216V3V4	216V3V4_R1.fastq	216V3V4_R2.fastq	T3	Water	0	C6	C6WT3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
